er,sx,sy,sz,smin,nd,Pxx,Pyy,Pzz,Nx,Ny,Nz,N_sum
20,1.0,1.0,0.3,0.3,67,4.651639736600615,4.651639736600615,1.6410463585706192,0.21497795543616044,0.21497795543616044,0.6093673068876725,1.0393232177599934
20,1.0,0.7,0.3,0.3,67,5.074379408235067,3.7543817130560377,1.776727687831886,0.19706843330972224,0.2663554418354568,0.5628324513928664,1.0262563265380455
20,1.0,0.5,0.3,0.3,67,5.6886186863233625,3.1429149879296547,1.9772944001051234,0.1757895993985694,0.31817596207358256,0.5057415830170938,0.9997071444892458
20,1.0,0.3,0.3,0.3,67,7.614071536915629,2.5793959355219807,2.5793959355219798,0.13133577681161218,0.3876876699030832,0.3876876699030833,0.9067111166177786
20,1.0,1.0,0.3,0.3,80,4.66717036806902,4.66717036806902,1.6424507373337953,0.21426258763588626,0.21426258763588626,0.6088462669043632,1.0373714421761357
20,1.0,0.7,0.3,0.3,80,5.09298966604031,3.7559209374627986,1.7771691168721668,0.19634832693023674,0.2662462859709503,0.5626926500726103,1.0252872629737972
20,1.0,0.5,0.3,0.3,80,5.697649857698396,3.131721814977751,1.9731383374909177,0.17551096065491759,0.3193131635183582,0.5068068371078431,1.001630961281119
20,1.0,0.3,0.3,0.3,80,7.506542242635881,2.5457029231581743,2.5457029231581743,0.1332171281632401,0.39281881279352493,0.39281881279352493,0.9188547537502899
20,1.0,1.0,0.3,0.3,94,4.678478311052945,4.678478311052945,1.643513793713049,0.21374471217222304,0.21374471217222304,0.6084524534112891,1.0359418777557352
20,1.0,0.7,0.3,0.3,94,5.1065671660839875,3.7569080814713858,1.7775036839577394,0.19582626987492618,0.2661763285963472,0.5625867383708755,1.0245893368421488
20,1.0,0.5,0.3,0.3,94,5.703983181819251,3.123245577799354,1.9700149307149406,0.17531608493997278,0.32017975374981633,0.507610365997119,1.0031062046869081
20,1.0,0.3,0.3,0.3,94,7.42739996787192,2.52030099273656,2.52030099273656,0.1346366163564122,0.3967780050406572,0.3967780050406572,0.9281926264377266
20,1.0,1.0,0.3,0.3,100,4.682450461678019,4.682450461678019,1.6438952160663367,0.21356339125937845,0.21356339125937845,0.6083112781317606,1.0354380606505176
20,1.0,0.7,0.3,0.3,100,5.111341687691888,3.75722716299776,1.7776236501374687,0.19564334789200266,0.26615372364180795,0.5625487711769964,1.024345842710807
20,1.0,0.5,0.3,0.3,100,5.70615722589836,3.12020069045084,1.9688975066235397,0.17524928956764999,0.3204922052162963,0.5078984541531057,1.003639948937052
20,1.0,0.3,0.3,0.3,100,7.399428791322003,2.5111985055294714,2.511198505529471,0.13514556707036532,0.3982162293415175,0.39821622934151757,0.9315780257534004
100,1.0,1.0,0.3,0.3,67,5.907673461824409,5.907673461824409,1.7832937806182985,0.1692713733184535,0.1692713733184535,0.5607601007015697,0.8993028473384767
100,1.0,0.7,0.3,0.3,67,6.617412744609278,4.546963108515807,1.9466214220927496,0.1511164617643998,0.21992700977211452,0.5137105698369088,0.8847540413734231
100,1.0,0.5,0.3,0.3,67,7.76660839453473,3.7086002292121685,2.197766528389247,0.12875633084625307,0.2696435145862119,0.4550073845800648,0.8534072300125297
100,1.0,0.3,0.3,0.3,67,13.386356469309618,3.076691083384519,3.0766910833845182,0.07470292624379617,0.32502450616522355,0.32502450616522366,0.7247519385742434
100,1.0,1.0,0.3,0.3,80,5.933684933178097,5.933684933178097,1.7853734830657697,0.16852933906357537,0.16852933906357537,0.5601068961116423,0.8971655742387931
100,1.0,0.7,0.3,0.3,80,6.647998668777557,4.550071757662292,1.9474889295153048,0.15042120942299786,0.2197767536997645,0.5134817378648114,0.8836797009875738
100,1.0,0.5,0.3,0.3,80,7.773875548551292,3.6923781897214947,2.1923341063960873,0.1286359671896672,0.27082816239780333,0.45613485512200064,0.8555989847094712
100,1.0,0.3,0.3,0.3,80,12.867241546733617,3.021828751580819,3.021828751580819,0.07771673488587402,0.3309254369483601,0.3309254369483601,0.7395676087825942
100,1.0,1.0,0.3,0.3,94,5.952793802202308,5.952793802202308,1.7869446034694392,0.16798834853477335,0.16798834853477335,0.5596144379957004,0.8955911350652471
100,1.0,0.7,0.3,0.3,94,6.670473538899321,4.552165711623066,1.9481349633226224,0.14991439425828343,0.21967565843367595,0.5133114588192903,0.8829015115112497
100,1.0,0.5,0.3,0.3,94,7.77860643389264,3.6800006445996813,2.1882016821808348,0.12855773183777996,0.2717390828361614,0.45699626690870954,0.8572930815826509
100,1.0,0.3,0.3,0.3,94,12.498960891447886,2.9800103853458717,2.980010385345872,0.08000665084760973,0.33556930033448057,0.3355693003344805,0.7511452515165709
100,1.0,1.0,0.3,0.3,100,5.959543790899386,5.959543790899386,1.7875078867345866,0.16779807902864402,0.16779807902864402,0.5594380911106337,0.8950342491679217
100,1.0,0.7,0.3,0.3,100,6.67841272246967,4.55286614354826,1.9483644440560455,0.14973617857361188,0.21964186261374544,0.5132510003714863,0.8826290415588436
100,1.0,0.5,0.3,0.3,100,7.7801516556671615,3.6755336941530854,2.186712383376923,0.12853219888992617,0.27206933284022566,0.4573075122278805,0.8579090439580324
100,1.0,0.3,0.3,0.3,100,12.371430778699034,2.9649262882908074,2.9649262882908065,0.08083139435430434,0.33727651306180384,0.3372765130618039,0.7553844204779121
10000000000.0,1.0,1.0,0.3,0.3,67,6.316592646041167,6.316592646041167,1.8215078054948097,0.15831320080878344,0.15831320080878344,0.5489957259493332,0.8656221275669
10000000000.0,1.0,0.7,0.3,0.3,67,7.138234899243958,4.7900029646217455,1.992843147495521,0.1400906546387139,0.20876813801282637,0.5017956386867359,0.8506544313382762
10000000000.0,1.0,0.5,0.3,0.3,67,8.51817706912577,3.8778741381573107,2.259375665068203,0.11739600995434944,0.25787324816972534,0.4426001463416724,0.8178694044657472
